Company Name,Job Location,Post date,Today,Url
"Aadis Jobs
     (More Jobs)","Agra,  Aligarh,  Ghaziabad,  Other City(s) in Uttar Pradesh",Posted few days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-career-inn-agra-aligarh-ghaziabad-other-city-s-in-uttar-pradesh-1-to-4-yrs-jobid-UmHRNkORMfdzpSvf__PLUS__uAgZw==&source=srp
INFINITY GROUP,"Delhi,  Delhi/NCR",Posted 2 days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-infinity-group-delhi-delhi-ncr-1-to-2-yrs-jobid-tOsWAAK3gO5zpSvf__PLUS__uAgZw==&source=srp
INFINITY GROUP,"Delhi,  Delhi/NCR",Posted few days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-infinity-group-delhi-delhi-ncr-3-to-6-yrs-jobid-DL17gcMor99zpSvf__PLUS__uAgZw==&source=srp
SEVEN CONSULTANCY,"Noida/Greater Noida,  Delhi,  Delhi/NCR",Posted 6 days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-seven-consultancy-noida-greater-noida-delhi-delhi-ncr-0-to-3-yrs-jobid-4Tj__SLASH__IPEoH9dzpSvf__PLUS__uAgZw==&source=srp
Divya Placement Consultant,Faridabad,Posted 3 days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-divya-placement-consultant-faridabad-0-to-3-yrs-jobid-Xhj__PLUS__873vgHhzpSvf__PLUS__uAgZw==&source=srp
Tekzilver,"Delhi,  Delhi/NCR",Posted 6 days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-tekzilver-delhi-delhi-ncr-1-to-4-yrs-jobid-Ljdb6fxNCDNzpSvf__PLUS__uAgZw==&source=srp
xtra care hr solution,"Delhi,  Delhi/NCR",Posted few days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-xtra-care-hr-solution-delhi-delhi-ncr-2-to-8-yrs-jobid-lY19TIazz__PLUS__BzpSvf__PLUS__uAgZw==&source=srp
Xtracare HR Solution,"Delhi,  Delhi/NCR",Posted few days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-xtracare-hr-solution-delhi-delhi-ncr-2-to-8-yrs-jobid-v9gqa7B7vPFzpSvf__PLUS__uAgZw==&source=srp
Jobmirror Consultancy,"Delhi,  Delhi/NCR",Posted few days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-jobmirror-consultancy-delhi-delhi-ncr-5-to-8-yrs-jobid-l1Iy40t__SLASH__YmhzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"Delhi,  Delhi/NCR",Posted few days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-tanda-hr-solutions-delhi-delhi-ncr-1-to-2-yrs-jobid-698KlxR0mVRzpSvf__PLUS__uAgZw==&source=srp
TandA HR Solutions,"Delhi,  Delhi/NCR",Posted few days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-tanda-hr-solutions-delhi-delhi-ncr-1-to-2-yrs-jobid-JLCHc9cpV5JzpSvf__PLUS__uAgZw==&source=srp
xtra care hr solution,Delhi,Posted few days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-xtra-care-hr-solution-delhi-1-to-4-yrs-jobid-lOC4VwXcCupzpSvf__PLUS__uAgZw==&source=srp
The Global Zone HR Services,"Delhi,  Delhi/NCR",Posted few days ago,2021-12-15,https://www.timesjobs.com/job-detail/accountant-the-global-zone-hr-services-delhi-delhi-ncr-4-to-9-yrs-jobid-lpvC2oYEf5FzpSvf__PLUS__uAgZw==&source=srp
